,Brand,Title,Review,Rating,Author Name,Review Date,Views,Like Count,Dislike Count,URL
502,Kia Seltos,Price Is Too High;,"Price bracket for Kia Seltos is too large. The base model is 9.69 and the top one is 15.99. Price of base and is cool. And specification doesn't vary too much. Only some additional features like Sunroof, alloy wheels, hud, and some other small features are different. So its a huge price gap between base and top.",1,Marut,23-Aug-19,495 Views,6 Likes,5 Dislikes,https://www.cardekho.com/user-review/kia-seltos/price-is-too-high-80475.htm
503,Kia Seltos,Amazing SUV;,  Kia Seltos's design and specifications are amazing. Kia Seltos is available at an affordable price. Hope one day I will buy this car. Welcome to India Kia Altos.,5,Samapth G,22-Aug-19,13 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/amazing-suv-80450.htm
504,Kia Seltos,Price Is Too HIgh;,Kia Seltos price is too high if the top variant can below 16 lakh then it could be no.1. car in the segment. Desperately now hector will be no1 and Tata harrier is no2 and Kia Seltos is no 3 position.,1,Prashanth Kumar,22-Aug-19,137 Views,1 Likes,3 Dislikes,https://www.cardekho.com/user-review/kia-seltos/price-is-too-high-80446.htm
505,Kia Seltos,Good Car;,"I agree there are good features in Kia Seltos. New car of KIA but the price according to the product is very high, specification in the Diesel top end in which several features are also missing.",3,Neeraj Nandan,22-Aug-19,176 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/good-car-80358.htm
506,Kia Seltos,Very Good And Excellent Car;,Kia Seltos is a very good car with good design. Features of the car made it more comfortable. Car is avilable at an affordable price that a middle class family can buy it. This is my dream car.,5,Darpan,22-Aug-19,116 Views,1 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/very-good-and-excellent-car-80344.htm
507,Kia Seltos,Nice Car;,Kia Seltos is a good car for the family. The car has solid built quality.,5,Naveen,22-Aug-19,15 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/nice-car-80467.htm
508,Kia Seltos,Excellent Car;,Kia Seltos is an excellent car but lower variants should offer the same setup of lights as the top model otherwise outstanding car. It is a threat to Hyundai Creta.,4,Manik,22-Aug-19,13 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/excellent-car-80360.htm
509,Kia Seltos,Excellent Car;,Kia Seltos is an excellent looking car with great features.,5,Sanjiv Kumar,22-Aug-19,20 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/excellent-car-80334.htm
510,Kia Seltos,"Don't go with hype, just take test drive and then decide.","After looking at 5 star hype on internet of Kia Seltos, today I took test drive for KIA seltos. Simply not super almost like Breeza design n same built quality. About interiors only top end has Bose Speakers other variants have normal ones. No cold glove box or light even in top end Seltos. Most of the parts are not imported and manufacture in AP that's why price is less. Diesel engine sounds like driving Tata Sumo. Test it and then decide. Now a days people are smart ""Kam daam mein acha quality"" To be frank I don't refer this seltos to anyone, 6 gears which will be definetly fuel consuming like i20.",1,Hari,18-Aug-19,21582 Views,33 Likes,63 Dislikes,https://www.cardekho.com/user-review/kia-seltos/dont-go-with-hype-just-take-test-drive-and-then-decide-79463.htm
511,Kia Seltos,Best Car - Kia Seltos,"Nice car,  Kia did an outstanding job making this car reliable and most superior for Indian market it really showed the future of modern mobility with its internet features along with the worlds first built in-car air purifier. It takes the lead and it is seriously going to be trust by every Indian.",5,Tejas Shukla,22-Aug-19,1215 Views,2 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/best-car-kia-seltos-80333.htm
